index k seed graph algorithm obj_func
0 1792 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4350189
0 1792 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 21984905
0 1856 1 amazon0312 int_OrigAlph_RecMSecfennelapprosqrt16R1 999491
0 1856 1 amazon0505 int_OrigAlph_RecMSecfennelapprosqrt16R1 1052522
0 1856 1 amazon0601 int_OrigAlph_RecMSecfennelapprosqrt16R1 1039056
0 1856 1 as-skitter int_OrigAlph_RecMSecfennelapprosqrt16R1 7986693
0 1856 1 citationCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 793221
0 1856 1 coAuthorsCiteseer int_OrigAlph_RecMSecfennelapprosqrt16R1 221916
0 1856 1 com-youtube int_OrigAlph_RecMSecfennelapprosqrt16R1 2147810
0 1856 1 del23 int_OrigAlph_RecMSecfennelapprosqrt16R1 10642583
0 1856 1 delaunay_n22 int_OrigAlph_RecMSecfennelapprosqrt16R1 5363096
0 1856 1 G3_circuit int_OrigAlph_RecMSecfennelapprosqrt16R1 750475
0 1856 1 in-2004 int_OrigAlph_RecMSecfennelapprosqrt16R1 8116072
0 1856 1 rgg23 int_OrigAlph_RecMSecfennelapprosqrt16R1 5893963
0 1856 1 rgg_n_2_22_s0 int_OrigAlph_RecMSecfennelapprosqrt16R1 3280609
0 1856 1 roadNet-CA int_OrigAlph_RecMSecfennelapprosqrt16R1 606867
0 1856 1 roadNet-PA int_OrigAlph_RecMSecfennelapprosqrt16R1 354432
0 1856 1 roadNet-TX int_OrigAlph_RecMSecfennelapprosqrt16R1 441982
0 1856 1 soc-flixster int_OrigAlph_RecMSecfennelapprosqrt16R1 6379862
0 1856 1 soc-lastfm int_OrigAlph_RecMSecfennelapprosqrt16R1 3578988
0 1856 1 soc-pokec int_OrigAlph_RecMSecfennelapprosqrt16R1 18160339
0 1856 1 wiki-Talk int_OrigAlph_RecMSecfennelapprosqrt16R1 4349987
0 1856 1 wiki-topcats int_OrigAlph_RecMSecfennelapprosqrt16R1 22042473
